,AQI,City,Condition,Humidity,PM 10,PM 2.5,State,Temperature
0,41,Addanki,Good,62,66,20,andhra-pradesh,33
1,24,Adoni,Good,58,27,10,andhra-pradesh,32
2,60,Amalapuram,Moderate,65,56,26,andhra-pradesh,32
3,36,Amudalavalasa,Good,63,45,21,andhra-pradesh,34
4,40,Anakapalle,Good,62,53,23,andhra-pradesh,34
5,28,Anantapur,Good,56,39,18,andhra-pradesh,30
6,40,Badvel,Good,57,40,14,andhra-pradesh,35
7,26,Bapatla,Good,65,38,7,andhra-pradesh,32
8,31,Bezwada,Good,69,38,7,andhra-pradesh,35
9,28,Bhimavaram,Good,71,35,11,andhra-pradesh,32
10,41,Bhimunipatnam,Good,65,53,23,andhra-pradesh,34
11,37,Bobbili,Good,56,45,20,andhra-pradesh,37
12,38,Chicacole,Good,63,49,22,andhra-pradesh,34
13,28,Chilakalurupet,Good,60,38,7,andhra-pradesh,34
14,35,Chimakurti,Good,64,35,14,andhra-pradesh,34
15,41,Chipurupalle,Good,46,52,23,andhra-pradesh,37
16,30,Chirala,Good,65,50,14,andhra-pradesh,32
17,45,Chittoor,Good,58,48,12,andhra-pradesh,33
18,63,Cuddapah,Moderate,54,68,41,andhra-pradesh,33
19,24,Dharmavaram,Good,53,17,7,andhra-pradesh,33
20,33,Draksharama,Good,66,42,17,andhra-pradesh,33
21,28,Ellore,Good,60,36,9,andhra-pradesh,33
22,27,Emmiganur,Good,59,31,11,andhra-pradesh,32
23,59,Giddalur,Moderate,59,23,14,andhra-pradesh,34
24,30,Gudivada,Good,67,37,8,andhra-pradesh,33
25,29,Guntakal,Good,54,19,8,andhra-pradesh,32
26,31,Guntur,Good,60,38,7,andhra-pradesh,33
27,23,Hindupur,Good,46,26,12,andhra-pradesh,27
28,41,Jammalamadugu,Good,56,16,8,andhra-pradesh,34
29,22,Kadiri,Good,54,23,9,andhra-pradesh,32
30,30,Kakinada,Good,66,35,13,andhra-pradesh,32
31,51,Kandukur,Moderate,62,35,18,andhra-pradesh,35
32,48,Kavali,Good,57,42,20,andhra-pradesh,32
33,35,Koilkuntla,Good,56,18,9,andhra-pradesh,34
34,47,Kovvur,Good,58,57,21,andhra-pradesh,32
35,26,Kurnool,Good,49,29,11,andhra-pradesh,31
36,35,Macherla,Good,52,26,10,andhra-pradesh,31
37,26,Machilipatnam,Good,69,36,9,andhra-pradesh,33
38,26,Madanapalle,Good,55,28,9,andhra-pradesh,28
39,29,Mandapeta,Good,67,34,12,andhra-pradesh,33
40,32,Mangalagiri,Good,64,36,10,andhra-pradesh,33
41,73,Markapur,Moderate,58,52,22,andhra-pradesh,34
42,53,Nagari,Moderate,59,50,11,andhra-pradesh,34
43,35,Nandyal,Good,56,20,10,andhra-pradesh,31
44,34,Narasannapeta,Good,63,44,20,andhra-pradesh,33
45,34,Narasapur,Good,69,45,17,andhra-pradesh,31
46,45,Narasaraopet,Good,61,65,17,andhra-pradesh,33
47,59,Nellore,Moderate,53,64,23,andhra-pradesh,32
48,29,Nidadavole,Good,67,34,12,andhra-pradesh,33
49,28,Ongole,Good,64,35,13,andhra-pradesh,31
50,28,Palakollu,Good,69,34,12,andhra-pradesh,32
51,33,Palmaner,Good,53,31,8,andhra-pradesh,31
52,31,Pamidi,Good,54,15,7,andhra-pradesh,33
53,26,Parigi,Good,54,22,6,andhra-pradesh,31
54,32,Pedana,Good,69,43,12,andhra-pradesh,33
55,28,Pedda Nandipadu,Good,65,38,7,andhra-pradesh,32
56,30,Pithapuram,Good,66,36,13,andhra-pradesh,32
57,37,Ponduru,Good,47,48,21,andhra-pradesh,38
58,28,Ponnuru,Good,65,38,7,andhra-pradesh,32
59,31,Proddatur,Good,55,26,9,andhra-pradesh,34
60,25,Pulivendla,Good,51,22,7,andhra-pradesh,34
61,28,Punganuru,Good,53,26,7,andhra-pradesh,31
62,52,Puttur,Moderate,55,52,13,andhra-pradesh,34
63,35,Rajahmundry,Good,67,97,39,andhra-pradesh,34
64,79,Rayachoti,Moderate,52,77,25,andhra-pradesh,33
65,26,Repalle,Good,69,38,7,andhra-pradesh,33
66,30,Samalkot,Good,66,35,13,andhra-pradesh,32
67,77,Sattenapalle,Moderate,58,108,31,andhra-pradesh,34
68,30,Tadepalle,Good,69,38,7,andhra-pradesh,33
69,29,Tadepallegudem,Good,62,34,12,andhra-pradesh,32
70,31,Tadpatri,Good,57,15,8,andhra-pradesh,34
71,30,Tanuku,Good,61,34,12,andhra-pradesh,33
72,30,Tenali,Good,60,38,7,andhra-pradesh,33
73,46,Tirupati,Good,56,56,20,andhra-pradesh,32
74,32,Tuni,Good,64,39,17,andhra-pradesh,31
75,52,Venkatagiri,Moderate,50,55,14,andhra-pradesh,35
76,23,Vinukonda,Good,60,36,10,andhra-pradesh,33
77,68,Vishakhapatnam,Moderate,64,70,22,andhra-pradesh,33
78,40,Vizianagaram,Good,44,53,23,andhra-pradesh,36
79,17,Itanagar,Good,94,10,,arunachal-pradesh,22
80,58,Dibrugarh,Moderate,100,22,13,assam,23
81,47,Dispur,Good,78,47,26,assam,27
82,83,Gauripur,Moderate,83,59,40,assam,29
83,41,Guwahati,Good,91,61,37,assam,27
84,25,Jorhat,Good,96,10,7,assam,23
85,56,Silchar,Moderate,91,18,12,assam,26
86,37,Tezpur,Good,100,28,14,assam,23
87,55,Aurangabad,Moderate,50,40,21,bihar,34
88,89,Begusarai,Moderate,50,61,36,bihar,35
89,165,Bhagalpur,Poor,57,95,65,bihar,32
90,52,Deo,Moderate,53,37,20,bihar,34
91,48,Gaya,Good,58,23,25,bihar,32
92,76,Muzaffarpur,Moderate,56,30,40,bihar,29
93,78,Patna,Moderate,57,66,35,bihar,29
94,93,Purnea,Moderate,55,79,54,bihar,34
95,118,Rajgir,Poor,47,98,41,bihar,35
96,86,Saharsa,Moderate,57,58,39,bihar,34
97,90,Chandigarh,Moderate,77,72,45,chandigarh,26
98,75,Amarkantak,Moderate,63,23,16,chhattisgarh,28
99,68,Bhilai,Moderate,55,28,19,chhattisgarh,32
100,80,Bilaspur,Moderate,54,37,25,chhattisgarh,35
101,71,Durg,Moderate,54,25,17,chhattisgarh,32
102,60,Raipur,Moderate,55,33,23,chhattisgarh,36
103,40,Silvassa,Good,77,36,24,dadra-and-nagar-haveli,28
104,83,Diu,Moderate,70,30,17,daman-and-diu,28
105,77,New Delhi,Moderate,78,58,44,delhi,25
106,34,Curchorem,Good,75,23,14,goa,28
107,36,Loutolim,Good,88,24,14,goa,28
108,38,Panaji,Good,94,26,14,goa,28
109,150,Ahmedabad,Poor,74,146,37,gujarat,27
110,75,Ankleshwar,Moderate,72,99,53,gujarat,29
111,46,Bhavnagar,Good,65,29,17,gujarat,27
112,88,Bhuj,Moderate,49,37,21,gujarat,29
113,42,Chikhli,Good,79,40,24,gujarat,28
114,40,Daman,Good,83,41,24,gujarat,28
115,50,Dholka,Good,69,16,15,gujarat,27
116,104,Dwarka,Poor,55,36,21,gujarat,30
117,27,Ghandinagar,Good,73,16,11,gujarat,26
118,26,Godhra,Good,62,21,16,gujarat,27
119,80,Jamnagar,Moderate,63,40,25,gujarat,32
120,80,Jasdan,Moderate,67,69,33,gujarat,28
121,35,Khambhat,Good,69,21,15,gujarat,28
122,48,Khed Brahma,Good,87,29,18,gujarat,24
123,29,Mahesana,Good,77,15,11,gujarat,26
124,26,Meghraj,Good,81,15,12,gujarat,25
125,95,Mundra,Moderate,41,51,31,gujarat,35
126,95,Naliya,Moderate,43,48,28,gujarat,31
127,55,Nandod,Moderate,70,23,16,gujarat,29
128,41,Navsari,Good,76,35,24,gujarat,28
129,87,Porbandar,Moderate,56,31,17,gujarat,29
130,69,Rajkot,Moderate,70,68,31,gujarat,29
131,49,Sihor,Good,65,29,16,gujarat,27
132,61,Surat,Moderate,90,64,35,gujarat,29
133,54,Vadodara,Moderate,89,48,28,gujarat,28
134,40,Valsad,Good,81,36,24,gujarat,27
135,64,Vapi,Moderate,73,59,27,gujarat,29
136,116,Ambala,Poor,86,101,69,haryana,24
137,58,Bhiwani,Moderate,89,35,30,haryana,17
138,58,Faridabad,Moderate,72,45,29,haryana,20
139,77,Gurgaon,Moderate,79,53,44,haryana,23
140,76,Hisar,Moderate,83,68,42,haryana,23
141,78,Karnal,Moderate,83,72,38,haryana,23
142,100,Panchkula,Moderate,69,74,60,haryana,27
143,120,Panipat,Poor,69,130,26,haryana,24
144,70,Rohtak,Moderate,83,59,35,haryana,23
145,71,Sirsa,Moderate,62,65,20,haryana,25
146,91,Sonipat,Moderate,76,81,40,haryana,25
147,103,Dharmsala,Poor,74,138,65,himachal-pradesh,21
148,81,Kulu,Moderate,49,80,44,himachal-pradesh,20
149,114,Manali,Poor,57,50,29,himachal-pradesh,13
150,92,Shimla,Moderate,80,112,71,himachal-pradesh,16
151,94,Solan,Moderate,85,111,60,himachal-pradesh,20
152,74,Bandipura,Moderate,60,63,29,jammu-and-kashmir,19
153,70,Baramula,Moderate,58,58,27,jammu-and-kashmir,19
154,65,Handwara,Moderate,55,50,24,jammu-and-kashmir,20
155,96,Jammu,Moderate,50,131,60,jammu-and-kashmir,30
156,69,Kulgam,Moderate,59,55,26,jammu-and-kashmir,17
157,65,Rajaori,Moderate,29,55,42,jammu-and-kashmir,30
158,78,Sopur,Moderate,59,61,31,jammu-and-kashmir,19
159,79,Srinagar,Moderate,60,63,32,jammu-and-kashmir,16
160,51,Udhampur,Moderate,36,71,32,jammu-and-kashmir,30
161,90,Chakradharpur,Moderate,52,58,21,jharkhand,35
162,85,Dhanbad,Moderate,61,102,24,jharkhand,32
163,83,Jamshedpur,Moderate,51,86,38,jharkhand,34
164,95,Ranchi,Moderate,57,102,37,jharkhand,32
165,32,Bangalore,Good,56,31,12,karnataka,28
166,20,Belgaum,Good,80,25,15,karnataka,23
167,33,Bellary,Good,54,13,4,karnataka,32
168,42,Belur,Good,68,60,21,karnataka,23
169,28,Bidar,Good,64,11,4,karnataka,31
170,39,Bijapur,Good,56,25,15,karnataka,30
171,25,Channarayapatna,Good,66,21,7,karnataka,26
172,20,Davangere,Good,62,21,2,karnataka,29
173,16,Gulbarga,Good,57,18,9,karnataka,31
174,44,Hassan,Good,68,71,15,karnataka,25
175,43,Hospet,Good,53,7,1,karnataka,31
176,38,Hubli,Good,72,54,24,karnataka,27
177,22,Kolar,Good,61,24,7,karnataka,29
178,24,Mandya,Good,61,25,8,karnataka,29
179,67,Mangalore,Moderate,83,61,42,karnataka,27
180,44,Mysore,Good,59,47,15,karnataka,28
181,33,Raichur,Good,49,51,22,karnataka,29
182,50,Shimoga,Good,66,50,21,karnataka,28
183,40,Shrirangapattana,Good,63,41,16,karnataka,26
184,21,Tumkur,Good,64,17,6,karnataka,28
185,38,Udipi,Good,80,35,24,karnataka,28
186,30,Alleppey,Good,79,24,9,kerala,28
187,42,Angamali,Good,75,26,18,kerala,31
188,41,Calicut,Good,67,41,14,kerala,30
189,20,Kochi,Good,75,16,10,kerala,30
190,45,Palghat,Good,72,41,21,kerala,30
191,42,Pathanamthitta,Good,79,31,11,kerala,30
192,46,Quilon,Good,87,37,18,kerala,30
193,63,Thiruvananthapuram,Moderate,74,56,19,kerala,26
194,64,Trichur,Moderate,80,61,36,kerala,29
195,50,Betma,Good,66,50,4,madhya-pradesh,29
196,44,Bhopal,Good,60,44,16,madhya-pradesh,30
197,59,Burhanpur,Moderate,49,37,11,madhya-pradesh,33
198,44,Gwalior,Good,95,38,27,madhya-pradesh,23
199,80,Indore,Moderate,54,84,22,madhya-pradesh,29
200,38,Jabalpur,Good,62,28,13,madhya-pradesh,29
201,66,Khajuraho,Moderate,81,41,18,madhya-pradesh,28
202,27,Maihar,Good,52,27,12,madhya-pradesh,32
203,55,Mandsaur,Moderate,80,53,12,madhya-pradesh,25
204,53,Orchha,Moderate,100,37,22,madhya-pradesh,26
205,41,Ratlam,Good,76,41,23,madhya-pradesh,25
206,29,Saugor,Good,87,11,10,madhya-pradesh,26
207,79,Ujjain,Moderate,55,83,14,madhya-pradesh,29
208,24,Umaria,Good,65,15,4,madhya-pradesh,28
209,53,Vidisha,Moderate,62,31,15,madhya-pradesh,31
210,77,Ahmadnagar,Moderate,64,64,37,maharashtra,27
211,33,Akola,Good,52,13,8,maharashtra,31
212,34,Amravati,Good,56,13,8,maharashtra,31
213,52,Aurangabad,Moderate,69,47,18,maharashtra,33
214,79,Bhayandar,Moderate,89,88,13,maharashtra,28
215,64,Bhiwandi,Moderate,73,57,11,maharashtra,29
216,48,Bhusaval,Good,49,31,12,maharashtra,34
217,105,Chanda,Poor,48,76,40,maharashtra,32
218,37,Chinchvad,Good,85,66,39,maharashtra,26
219,34,Dhulia,Good,48,27,15,maharashtra,34
220,44,Ichalkaranji,Good,72,14,9,maharashtra,27
221,42,Jalgaon,Good,48,34,12,maharashtra,33
222,41,Junnar,Good,70,53,30,maharashtra,26
223,28,Kalyan,Good,83,17,3,maharashtra,28
224,33,Khed,Good,85,29,17,maharashtra,28
225,48,Kolhapur,Good,72,33,25,maharashtra,26
226,44,Latur,Good,59,38,21,maharashtra,30
227,41,Malegaon,Good,50,29,19,maharashtra,27
228,39,Mumbai,Good,96,38,12,maharashtra,30
229,64,Nagpur,Moderate,62,74,27,maharashtra,33
230,33,Nanded,Good,53,12,8,maharashtra,32
231,58,Nasik,Moderate,85,58,32,maharashtra,23
232,49,Osmanabad,Good,63,16,12,maharashtra,29
233,28,Panchgani,Good,82,36,20,maharashtra,20
234,28,Parbhani,Good,55,22,12,maharashtra,30
235,57,Pune,Moderate,75,46,13,maharashtra,27
236,46,Sangli,Good,67,11,7,maharashtra,27
237,34,Solapur,Good,60,8,5,maharashtra,28
238,142,Thane,Poor,88,43,9,maharashtra,27
239,52,Ulhasnagar,Moderate,72,28,5,maharashtra,29
240,45,Uran,Good,85,31,17,maharashtra,29
241,33,Yavatmal,Good,61,33,17,maharashtra,33
242,32,Imphal,Good,100,31,31,manipur,24
243,24,Shillong,Good,51,18,18,meghalaya,26
244,23,Aizawl,Good,36,16,4,mizoram,24
