,AQI,City,Condition,Humidity,PM 10,PM 2.5,State,Temperature,Timestamp
0,93,Addanki,Moderate,43,41,26,Andhra Pradesh,34,27-05-2021 01:33:29
1,75,Adoni,Moderate,65,406,10,Andhra Pradesh,27,27-05-2021 01:33:29
2,152,Amalapuram,Poor,76,222,105,Andhra Pradesh,31,27-05-2021 01:33:29
3,104,Amudalavalasa,Poor,72,52,35,Andhra Pradesh,30,27-05-2021 01:33:29
4,144,Anakapalle,Poor,69,339,68,Andhra Pradesh,30,27-05-2021 01:33:29
5,64,Anantapur,Moderate,61,27,10,Andhra Pradesh,27,27-05-2021 01:33:29
6,65,Badvel,Moderate,50,44,13,Andhra Pradesh,31,27-05-2021 01:33:29
7,98,Bapatla,Moderate,39,48,24,Andhra Pradesh,33,27-05-2021 01:33:29
8,107,Bezwada,Poor,37,58,22,Andhra Pradesh,33,27-05-2021 01:33:29
9,132,Bhimavaram,Poor,70,164,86,Andhra Pradesh,31,27-05-2021 01:33:29
10,143,Bhimunipatnam,Poor,63,336,68,Andhra Pradesh,31,27-05-2021 01:33:29
11,104,Bobbili,Poor,59,64,32,Andhra Pradesh,30,27-05-2021 01:33:29
12,113,Chicacole,Poor,72,97,40,Andhra Pradesh,30,27-05-2021 01:33:29
13,101,Chilakalurupet,Poor,41,51,23,Andhra Pradesh,33,27-05-2021 01:33:29
14,87,Chimakurti,Moderate,41,30,21,Andhra Pradesh,34,27-05-2021 01:33:29
15,127,Chipurupalle,Poor,69,185,51,Andhra Pradesh,29,27-05-2021 01:33:29
16,97,Chirala,Moderate,39,45,25,Andhra Pradesh,33,27-05-2021 01:33:29
17,55,Chittoor,Moderate,63,66,21,Andhra Pradesh,29,27-05-2021 01:33:29
18,72,Cuddapah,Moderate,55,72,33,Andhra Pradesh,30,27-05-2021 01:33:29
19,47,Dharmavaram,Good,64,39,14,Andhra Pradesh,27,27-05-2021 01:33:29
20,143,Draksharama,Poor,72,198,102,Andhra Pradesh,29,27-05-2021 01:33:29
21,113,Ellore,Poor,46,82,42,Andhra Pradesh,32,27-05-2021 01:33:29
22,89,Emmiganur,Moderate,59,82,12,Andhra Pradesh,28,27-05-2021 01:33:29
23,97,Giddalur,Moderate,52,19,13,Andhra Pradesh,30,27-05-2021 01:33:29
24,107,Gudivada,Poor,43,55,23,Andhra Pradesh,32,27-05-2021 01:33:29
25,68,Guntakal,Moderate,66,26,8,Andhra Pradesh,28,27-05-2021 01:33:29
26,107,Guntur,Poor,41,58,22,Andhra Pradesh,33,27-05-2021 01:33:29
27,46,Hindupur,Good,69,44,14,Andhra Pradesh,26,27-05-2021 01:33:29
28,78,Jammalamadugu,Moderate,55,22,11,Andhra Pradesh,30,27-05-2021 01:33:29
29,42,Kadiri,Good,67,45,15,Andhra Pradesh,26,27-05-2021 01:33:29
